,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
500,Nome,US,30.04,83.21,79,75,6.93
501,San Patricio,PY,-26.98,63.87,96,100,7.05
502,Chapais,CA,49.78,55.4,87,90,5.82
503,Thompson,CA,55.74,64.4,63,75,3.36
504,Ushuaia,AR,-54.81,41.0,86,20,2.66
505,Rikitea,PF,-23.12,74.49,85,8,14.23
506,Punta Arenas,CL,-53.16,39.11,93,75,8.05
507,Puerto Ayora,EC,-0.74,76.08,61,20,19.46
508,Qaanaaq,GL,77.48,46.23,60,51,12.71
509,Tuktoyaktuk,CA,69.44,62.6,59,75,6.93
510,Wajir,KE,1.75,84.2,54,75,14.99
511,Tuktoyaktuk,CA,69.44,62.6,59,75,6.93
512,Pathein,MM,16.78,79.35,88,100,5.95
513,Quimper,FR,48.0,75.04,47,0,10.29
514,Lavrentiya,RU,65.58,56.85,75,89,3.22
515,Hermanus,ZA,-34.42,55.0,82,61,1.01
516,Mataura,NZ,-46.19,40.65,83,83,8.23
517,Rikitea,PF,-23.12,74.49,85,8,14.23
518,Caravelas,BR,-17.73,75.93,70,0,9.91
519,Aykhal,RU,65.95,59.0,72,40,6.71
520,Kapaa,US,22.08,77.67,88,75,13.87
521,Barrow,AR,-38.31,56.31,51,96,8.81
522,Yulara,AU,-25.24,42.8,56,0,5.82
523,Juneau,US,58.3,58.42,93,90,3.36
524,Yellowknife,CA,62.45,64.85,39,20,9.17
525,Kapaa,US,22.08,77.67,88,75,13.87
526,Baijiantan,CN,45.63,76.47,34,54,3.22
527,Jamestown,AU,-33.21,47.13,86,71,9.73
528,Hambantota,LK,6.12,82.77,80,30,13.98
529,Rikitea,PF,-23.12,74.49,85,8,14.23
530,Huarmey,PE,-10.07,62.61,84,88,15.23
531,Katherine,AU,-14.47,62.6,36,82,9.17
532,Prince Albert,CA,53.2,71.6,68,75,3.36
533,Ushuaia,AR,-54.81,41.0,86,20,2.66
534,New Norfolk,AU,-42.78,45.45,61,75,19.46
535,Ribeira Grande,PT,38.52,77.0,53,40,17.22
536,Butaritari,KI,3.07,83.31,69,4,4.03
537,Tulun,RU,54.56,55.05,99,100,3.87
538,Kodiak,US,39.95,88.12,15,40,5.75
539,Yellowknife,CA,62.45,64.85,39,20,9.17
540,Rikitea,PF,-23.12,74.49,85,8,14.23
541,Laguna,BZ,16.17,87.8,74,40,4.7
542,Punta Arenas,CL,-53.16,39.11,93,75,8.05
543,Albany,US,42.65,81.1,48,20,11.41
544,Mataura,NZ,-46.19,40.65,83,83,8.23
545,Kudahuvadhoo,MV,2.67,84.21,64,28,3.18
546,Mar del Plata,AR,-46.43,45.15,59,100,5.66
547,Pakxan,LA,18.39,73.77,92,100,2.17
548,Gander,CA,48.95,64.2,72,75,6.93
549,Ornskoldsvik,SE,63.29,60.15,71,91,6.93
550,Busselton,AU,-33.64,48.34,63,22,19.28
551,Omboue,GA,-1.57,73.59,84,51,12.06
552,Lovozero,RU,68.01,46.41,77,100,6.29
553,Port Alfred,ZA,-33.59,63.0,90,8,5.99
554,Punta Arenas,CL,-53.16,39.11,93,75,8.05
555,Haines Junction,CA,60.75,55.95,56,87,6.42
556,Yellowknife,CA,62.45,64.83,39,20,9.17
557,Port Alfred,ZA,-33.59,63.0,90,8,5.99
558,Bratsk,RU,56.15,59.0,93,75,13.42
559,Kingsville,US,27.52,93.61,39,1,1.28
560,Inyonga,TZ,-6.72,69.63,45,0,5.48
561,Coos Bay,US,43.37,68.0,77,1,6.93
562,Hermanus,ZA,-34.42,55.0,82,61,1.01
563,Bethel,US,60.79,59.0,93,40,4.7
564,Butaritari,KI,3.07,83.31,69,4,4.03
565,Belmonte,PT,40.36,86.16,55,0,8.99
566,Uglovskoye,RU,51.36,69.81,70,0,12.82
567,Lorengau,PG,-2.02,78.45,82,100,8.28
568,Rikitea,PF,-23.12,74.49,85,8,14.23
569,Satis,RU,54.92,56.31,75,1,5.61
570,Hasaki,JP,35.73,67.73,94,75,8.05
571,Bambanglipuro,ID,-7.95,73.95,80,1,14.38
572,Mar del Plata,AR,-46.43,45.15,59,100,5.66
573,East London,ZA,-33.02,64.4,88,0,12.75
574,Alofi,NU,-19.06,69.8,77,12,2.24
575,Sao Filipe,CV,14.9,74.31,86,75,13.18
576,Cape Town,ZA,-33.93,55.06,76,0,6.93
577,Okhotsk,RU,59.36,52.17,94,100,7.54
578,Jamestown,AU,-33.21,47.13,86,71,9.73
579,Busselton,AU,-33.64,48.34,63,22,19.28
580,Ribeira Grande,PT,38.52,77.0,53,40,17.22
581,Rikitea,PF,-23.12,74.49,85,8,14.23
582,Viedma,AR,-40.81,56.85,36,100,14.72
583,Longyearbyen,NO,78.22,46.4,70,40,11.41
584,Ihosy,MG,-22.4,53.25,89,0,14.07
585,Hermanus,ZA,-34.42,55.0,82,61,1.01
586,Longyearbyen,NO,78.22,46.4,70,40,11.41
587,Saint-Philippe,CA,45.36,74.71,69,90,6.93
588,Port Alfred,ZA,-33.59,63.0,90,8,5.99
589,Guerrero Negro,MX,27.97,68.01,86,0,7.2
590,Rikitea,PF,-23.12,74.49,85,8,14.23
591,Khatanga,RU,71.98,47.49,62,27,10.0
592,Sibolga,ID,1.74,83.49,72,99,5.32
593,Kapaa,US,22.08,77.67,88,75,13.87
594,Srednekolymsk,RU,67.46,49.47,61,41,18.59
595,Hobart,AU,-42.88,45.41,61,75,20.8
596,Yellowknife,CA,62.45,64.83,39,20,9.17
597,Thompson,CA,55.74,64.4,63,75,3.36
598,Ushuaia,AR,-54.81,41.0,86,20,2.66
599,Rocha,UY,-34.48,52.89,71,47,6.93
600,Atuona,PF,-9.8,79.71,75,7,16.69
601,Upernavik,GL,72.79,44.61,88,2,4.07
602,Lavrentiya,RU,65.58,56.85,75,89,3.22
603,Kaitangata,NZ,-46.28,41.0,74,42,1.99
604,New Norfolk,AU,-42.78,45.45,61,75,19.46
605,New Norfolk,AU,-42.78,45.45,61,75,19.46
606,Antofagasta,CL,-23.65,57.2,62,0,10.29
607,Jacareacanga,BR,-6.22,93.39,36,53,4.23
608,Arraial do Cabo,BR,-22.97,83.34,54,0,4.7
609,Punta Arenas,CL,-53.16,39.11,93,75,8.05
610,Albany,US,42.65,81.1,48,20,11.41
611,Mataura,NZ,-46.19,40.65,83,83,8.23
612,Sorland,NO,67.67,50.0,76,75,6.93
613,Benemerito de las Americas,MX,16.52,86.73,57,90,4.25
614,Albany,US,42.65,81.1,48,20,11.41
615,Clyde River,CA,70.47,44.6,93,75,16.11
616,Castro,CL,-42.48,48.2,81,75,12.75
617,Tefe,BR,-3.35,87.8,70,40,5.82
618,Norman Wells,CA,65.28,57.2,87,75,4.03
619,Rikitea,PF,-23.12,74.49,85,8,14.23
620,Sorso,IT,40.8,78.48,58,20,6.93
621,Half Moon Bay,US,37.46,67.39,72,5,10.29
622,Lloydminster,CA,53.28,71.6,68,75,3.36
623,Oranjestad,AW,12.52,87.8,66,75,21.92
624,Fairbanks,US,64.84,63.1,77,1,3.36
625,Jizan,SA,16.89,96.8,37,40,10.29
626,Limoeiro do Ajuru,BR,-1.9,88.89,54,97,4.05
627,Ust-Tsilma,RU,65.44,57.93,81,100,4.79
628,Rikitea,PF,-23.12,74.49,85,8,14.23
629,Rikitea,PF,-23.12,74.49,85,8,14.23
630,East London,ZA,-33.02,64.4,88,0,12.75
631,Englewood,US,39.65,87.82,30,40,9.17
632,Solnechnyy,RU,50.72,60.09,90,100,1.3
633,Rikitea,PF,-23.12,74.49,85,8,14.23
634,Hofn,IS,64.25,53.6,93,90,5.82
635,Sri Aman,MY,1.24,75.2,88,79,3.36
636,Hermanus,ZA,-34.42,55.0,82,61,1.01
637,Khatanga,RU,71.98,47.49,62,27,10.0
638,Busselton,AU,-33.64,48.34,63,22,19.28
639,Yeppoon,AU,-23.13,42.8,63,93,2.24
640,Cidreira,BR,-30.17,58.11,74,100,6.89
641,Kagal,IN,16.58,71.97,92,75,7.0
642,Ilulissat,GL,69.22,53.6,54,20,5.82
643,Areosa,PT,41.72,72.37,93,90,6.93
644,Butaritari,KI,3.07,83.31,69,4,4.03
645,Cape Town,ZA,-33.93,55.06,76,0,6.93
646,Bredasdorp,ZA,-34.53,53.6,81,44,8.05
647,Constitucion,MX,23.99,73.49,53,5,4.7
648,Dalby,AU,-27.18,31.57,76,0,8.05
649,Puerto Ayora,EC,-0.74,76.1,61,20,19.46
650,Longyearbyen,NO,78.22,46.4,70,40,11.41
651,Pemberton,AU,-34.44,49.68,77,24,5.01
652,Vaini,IN,15.34,77.91,88,88,2.04
653,Yellowknife,CA,62.45,64.83,39,20,9.17
654,Ushuaia,AR,-54.81,41.0,86,20,2.66
655,Ponta do Sol,BR,-20.63,78.27,35,23,4.94
656,Ushuaia,AR,-54.81,41.0,86,20,2.66
657,Mount Gambier,AU,-37.83,54.15,75,95,26.73
658,Port Hedland,AU,-20.31,57.2,26,0,8.05
659,Jamestown,AU,-33.21,47.13,86,71,9.73
660,Bertinoro,IT,44.15,76.69,44,0,9.17
661,Santa Maria,BR,-16.02,82.2,24,0,5.82
662,Jamestown,AU,-33.21,47.13,86,71,9.73
663,Busselton,AU,-33.64,48.34,63,22,19.28
664,Atuona,PF,-9.8,79.71,75,7,16.69
665,Moree,AU,-29.46,37.4,64,22,8.05
666,Hamilton,CA,43.26,78.71,53,40,11.41
667,Codrington,AU,-28.95,47.98,74,0,16.11
668,Narsaq,GL,60.91,64.4,42,75,6.93
669,Vao,EE,59.1,55.59,67,94,3.69
670,Leshukonskoye,RU,64.9,57.57,61,16,1.57
671,Ahipara,NZ,-35.17,58.29,66,13,20.07
672,Henties Bay,NA,-22.12,54.0,94,0,5.01
673,Coquimbo,CL,-29.95,65.37,54,0,11.41
674,Kavieng,PG,-2.57,79.17,84,100,11.68
675,De Aar,ZA,-30.65,58.47,21,0,7.4
676,Albany,US,42.65,81.1,48,20,11.41
677,Vaini,IN,15.34,77.91,88,88,2.04
678,Beyneu,KZ,45.32,75.57,57,0,22.08
679,Port Alfred,ZA,-33.59,63.0,90,8,5.99
680,Kruisfontein,ZA,-34.0,51.81,93,12,6.49
681,Brigantine,US,39.41,90.66,49,1,11.41
682,Dikson,RU,73.51,42.09,71,90,6.8
683,Bethel,US,60.79,59.0,93,40,4.7
684,La Ronge,CA,55.1,66.2,68,40,6.93
685,Port Alfred,ZA,-33.59,63.0,90,8,5.99
686,Albany,US,42.65,81.1,48,20,11.41
